Time,Transfer,Bandwidth,Jitter,Lost,Total,%,Latency avg,Latency min,Latency max,Latency stdev,PP
39.9547,95.4,20,0.114,19,100003,0.019,64.606,64.241,110.341,0.121,2502
39.9513,119,25,0.116,61,125003,0.049,64.706,64.316,113.843,0.141,3128
39.9561,143,30,0.093,73,150003,0.049,64.455,64.162,109.062,0.154,3754
39.9513,119,25,0.116,61,125003,0.049,64.706,64.316,113.843,0.141,3128
39.9561,143,30,0.093,73,150003,0.049,64.455,64.162,109.062,0.154,3754
39.9683,167,35,0.104,112,175000,0.064,65.236,64.893,112.097,0.123,4378
39.954,191,40,0.083,139,200003,0.069,64.892,64.602,111.125,0.141,5005
39.9104,52.4,11,0.14,31,55003,0.056,70.685,70.208,160.876,0.269,1378
39.9109,57.2,12,0.146,47,60003,0.078,71.58,71.082,163.63,0.228,1503
39.9061,61.9,13,0.133,63,65003,0.097,71.245,70.742,165.65,0.227,1628
39.908,66.7,14,0.114,69,70003,0.099,70.894,70.499,163.496,0.183,1754
39.9093,71.5,15,0.111,78,75003,0.1,70.797,70.382,162.406,0.128,1879
39.9109,76.2,16,0.108,88,80003,0.11,70.816,70.431,160.653,0.134,2004
39.9109,42.9,9.02,0.129,0,36003,0,70.462,69.938,160.692,0.228,902
39.9115,47.7,10.0,0.105,0,40003,0,70.177,69.781,159.787,0.186,1002
39.9008,52.4,11.0,0.125,17,44003,0.039,70.330,69.846,170.365,0.308,1102
39.9081,57.2,12.0,0.121,22,48003,0.046,70.507,70.053,163.274,0.156,1202
39.9081,62.0,13.0,0.130,28,52003,0.054,70.756,70.249,163.481,0.287,1303
39.9086,66.7,14.0,0.120,37,56003,0.066,70.810,70.378,163.099,0.190,1403
39.9100,71.5,15.0,0.118,44,60003,0.073,70.786,70.340,161.886,0.216,1503
39.9066,76.2,16.0,0.122,58,64003,0.091,70.646,70.178,164.589,0.257,1603
39.9096,81.0,17.0,0.130,62,68003,0.091,70.768,70.327,161.926,0.234,1703
39.9099,85.8,18.0,0.114,70,72003,0.097,70.483,70.071,161.158,0.168,1804
39.9083,90.5,19.0,0.114,84,76003,0.11,70.846,70.417,163.042,0.157,1904
39.9075,95.3,20.0,0.119,94,80003,0.12,71.278,70.848,164.319,0.201,2004
39.9107,100,21.0,0.128,98,84003,0.12,70.644,70.201,160.471,0.046,2104
39.9100,105,22.0,0.121,110,88003,0.12,71.008,70.569,161.560,0.199,2205
39.9096,110,23.0,0.104,119,92003,0.13,70.896,70.495,161.755,0.190,2305
39.9115,114,24.0,0.103,123,96003,0.13,70.547,70.171,159.633,0.185,2405
39.9074,119,25.0,0.121,141,100003,0.14,70.849,70.452,163.985,0.172,2505
39.9110,124,26.0,0.109,142,104003,0.14,70.658,70.274,160.125,0.110,2605
