Time,Transfer,Bandwidth,Jitter,Lost,Total,%,Latency avg,Latency min,Latency max,Latency stdev,PPS
39.6618,11.9,2.52,0.219,14,12503,0.11,57.684,55.744,398,0.1,315
39.6631,10.5,2.22,0.153,1,11003,0.0091,58.075,56.117,397.486,0.508,277
39.6657,11,2.32,0.142,5,11503,0.043,57.347,55.492,393.897,0.536,289
39.6616,11.4,2.42,0.195,10,12003,0.083,58.18,56.146,398.842,0.302,302
39.6627,11.9,2.52,0.162,14,12503,0.11,57.953,56.081,397.05,0.271,315
39.6615,11.9,2.52,0.145,14,12503,0.11,57.809,55.936,398.357,0.448,315
39.6601,12.4,2.62,0.185,19,13003,0.15,57.518,55.529,399.066,0.435,327
39.6636,8.11,1.72,0.241,0,8503,0,58.742,56.724,398.364,0.682,214
39.66,9.06,1.92,0.199,0,9503,0,59,56.954,402.124,0.348,239
39.6638,10,2.12,0.201,0,10503,0,58.852,56.862,397.506,0.56,264
39.6639,11,2.32,0.155,6,11503,0.052,58.054,56.158,396.253,0.534,290
39.6602,11.9,2.52,0.192,15,12503,0.12,58.793,56.763,400.499,0.535,315
39.6639,12.9,2.72,0.19,22,13503,0.16,58.253,56.345,396.153,0.416,340
39.6637,10,2.12,0.158,0,8753,0,57.831,55.907,396.991,0.568,220
39.6643,10.5,2.22,0.201,0,9170,0,57.876,55.785,398.192,0.413,231
39.6679,11,2.32,0.151,0,9587,0,58.147,56.251,395.719,0.075,241
39.6649,11.4,2.42,0.158,0,10003,0,58.042,56.148,395.779,0.432,252
39.6676,15.2,3.22,0.15,20,13337,0.15,57.417,55.605,393.638,0.395,336
39.6637,12.9,2.72,0.222,3,11253,0.027,57.717,55.772,396.36,0.558,283
39.6659,13.3,2.82,0.2,7,11670,0.06,57.517,55.592,394.655,0.587,294
39.6633,13.8,2.92,0.251,11,12087,0.091,58.243,56.194,398.97,0.226,304
39.6674,14.8,3.12,0.164,9,11927,0.075,57.461,55.641,395.227,0.48,300
39.6522,15.2,3.22,0.203,16,12311,0.13,57.845,55.768,408.401,0.396,310
39.6673,15.7,3.32,0.203,15,12696,0.12,58.383,56.444,395.027,0.188,320
39.6662,16.2,3.42,0.209,18,13080,0.14,57.848,55.889,393.687,0.527,329
